,Age,Gender,Location,Income(₹),Status,Qualification,Domain,Score,Preferred-job,Preferred-industry,Internship,Exp-month-salary(INR ),Job-confidence,Job-security,Skill-set-scale,Redo-subjects,Job-portals,Updated-LinkedIn,Current-skills,Certification,Certification-domain,Job-platforms-freq,Market-awareness,Automation-impact,Work-mode,Curriculum-use,Missing-subjects,Job-search-time-weekly,Motivation,Switch-domain,Relocate
10,28-32,Male,Pune,"₹2,50,000–₹5,00,000",Working professional,Bachelor's degree,BBA,5.5,Process trainer.,"IT/Software, Healthcare, Education",yes,40000,Neutral,2,No,AI,LinkedIn,No,,No,No,Rarely,Yes,Negatively,Hybrid,3,Coding n computer knowledge is must,More than 10 hours,Job security,Yes,"Yes, anywhere"
11,23-27,Female,Nasik,"₹5,00,000–₹10,00,000",Working professional,Master's degree,Mba,8.5,Hr,Renewable energy,yes,65000,Very confident,3,Yes,Hr analysis,Li,yes,Naukri n linkedin,Yes,Maybe,Daily,Somewhat,Positively,Hybrid,4,Real time,1–5 hours,Work-life balance,Maybe,"Yes, anywhere"
12,18-22,Female,Vasai,"₹5,00,000–₹10,00,000",Currently studying,High school,Bsc Life sciences,8.1,-,"Healthcare, Marketing",No,60000,Neutral,4,No,Data science,-,No,Problem solving,No,-,Rarely,Somewhat,Positively,Hybrid,3,"Data analysis , on job training ",Less than 1 hour,Work-life balance,Yes,"Yes, Within my country"
13,18-22,Male,Mumbai,"₹5,00,000–₹10,00,000",Currently studying,Bachelor's degree,BACHELOR'S IN MANAGEMENT STUDIES (BMS in finance),8.0,HR,"Finance, Education, HR",No,20000,Very confident,4,Yes,Stock market is what I would pay more attention to.,Linkdin,yes,Good with Microsoft and libre,No,,Rarely,Yes,No impact,Hybrid,2,Stress management and problem solving,1–5 hours,High salary,Yes,"Yes, anywhere"
14,23-27,Male,Pune,"₹10,00,000–₹20,00,000",Working professional,Master's degree,Computer Applications,9.0,Data Scientist,IT/Software,yes,75000,Very confident,1,Yes,"Python Coding, Machine learning and AI and Data Analysis.",LinkedIn,yes,"Technical Skills: 
Python
Power BI
Machine Learning and Forecasting
Data Analysis
Cloud Computing (Azure) 
ETL
SQL

Soft Skills :
Effective Communication
Team Work
Analytical Thinking
Research
",Yes,Data Analytics,Daily,Yes,Positively,Remote,1,None that I can think of,Less than 1 hour,Growth potential,Yes,No
15,18-22,Male,Prayagraj,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Arts,8.28,Govt sector,Govt services,No,50000,Confident,4,Yes,Sociology,,No,Public speaking,No,Political science,Rarely,Yes,Not sure,On-site,4,Missing vocational training,Less than 1 hour,Growth potential,No,"Yes, Within my country"
16,18-22,Male,Kalyan,"₹2,50,000–₹5,00,000",Working professional,High school,Science,6.5,Telecaller,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing",yes,40000,Confident,5,Maybe,Biology,No,No,"English, sales, marketing",No,No,Never,Somewhat,Not sure,Remote,4,Medical,5–10 hours,Job security,Maybe,"Yes, anywhere"
17,23-27,Male,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Bachelor's degree,B Com,9.1,Customer Service executive,"Finance, Education, Accounts ",yes,30000,Confident,1,Yes,Accounts,No,No,Communication Skills,No,No,Never,Somewhat,Not sure,Hybrid,2,Application of subjects and topics that we learn during academics,Less than 1 hour,High salary,Yes,No
18,18-22,Female,Thane,"₹5,00,000–₹10,00,000",Working professional,Bachelor's degree,Accounts,7.84,Management,"Finance, Marketing",No,35000,Confident,2,Yes,Science,LinkedIn,No,**,Yes,**,Rarely,Somewhat,Positively,Remote,1,Practicals,Less than 1 hour,Learning opportunities,Yes,"Yes, anywhere"
19,18-22,Male,Ludhiana,"₹10,00,000–₹20,00,000",Currently studying,Bachelor's degree,Civil,8.0,"Site Engineer, Supervisor","Manufacturing, Marketing, Construction ",yes,50000,Confident,4,Yes,"Structure, Steel",LinkedIn,yes,"AutoCAD,Canva,Microsoft Excel ",Yes,"AutoCAD,Excel,STAAD.pro",Weekly,Yes,No impact,Hybrid,2,Softwares that are actually used in the market,1–5 hours,Growth potential,Yes,"Yes, Within my country"
20,18-22,Male,Ludhiana,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Civil engineering,7.8,Civil engineering,Construction,yes,25000,Neutral,5,Maybe,Structure,,No,N.a,No,No,Never,Yes,Not sure,Hybrid,2,Practical,1–5 hours,Job security,Maybe,"Yes, Within my country"
21,23-27,Male,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Diploma,Fine arts,6.1,Artist,Fine artist,yes,60000,Very confident,2,Yes,Biology,No,No,"Management, Team leading,Painting",No,No,Never,Yes,Positively,Hybrid,1,Psychology,Less than 1 hour,High salary,Yes,No
22,18-22,Male,Bhadohi,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Biology,5.7,Marketing,Marketing,No,21000,Very confident,5,Maybe,Chemistry,Linkedin,No,Vocational,Yes,Yes,Weekly,No,Not sure,Hybrid,4,Training for pressure to how you can face the problem,1–5 hours,Work-life balance,No,"Yes, Within my country"
23,18-22,Female,Bhadohi,"Less than ₹2,50,000",Currently studying,High school,English medium,7.6,No job,Marketing,No,30000,Neutral,2,Maybe,Business study,Marketing finance,No,Nothing,No,On,Weekly,No,Negatively,On-site,2,Coding,1–5 hours,Work-life balance,No,"Yes, Within my country"
24,18-22,Male,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Bcom,5.45,Financial management,Finance,No,40000,Neutral,3,No,Finance and accounts,No,No,Nothing,No,Mscit,Rarely,Somewhat,Positively,Hybrid,3,Technical,Less than 1 hour,High salary,Maybe,No
25,18-22,Female,Mumbai,"₹10,00,000–₹20,00,000",Currently studying,Bachelor's degree,Bsc Biotechnology,9.35,—,Healthcare,yes,300000,Confident,3,Maybe,Psychology,,yes,"Speaking skills, presentation skills",Yes,Biology and Psychology,Weekly,Somewhat,Not sure,On-site,4,"Research writing, case studies etc",Less than 1 hour,Work-life balance,Maybe,"Yes, anywhere"
26,18-22,Female,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,High school,Medical,7.0,Clinical,"Healthcare, Education",No,30000,Neutral,3,Maybe,Finance n marketing,,No,"Networking,Professionalism,problem solving,critical thinking",No,Na,Never,Somewhat,Positively,On-site,3,Practical knowledge,Less than 1 hour,High salary,Yes,"Yes, anywhere"
27,18-22,Male,Thane,"Less than ₹2,50,000",Unemployed,High school,Commerce,4.0,Trading,Trading,yes,25000,Confident,4,Maybe,Economics geography and maths,,No,Good English speaking,No,No,Never,Somewhat,Not sure,Remote,2,"Financial management, psychology, money making, vocal skills, etc",Less than 1 hour,Learning opportunities,Maybe,No
28,18-22,Male,Kopargaon,"Less than ₹2,50,000",Currently studying,High school,Science,7.88,software developer,IT/Software,No,50000,Confident,4,No,coding language,,yes,Logical thinking problem solving,No,no,Daily,Yes,Positively,Hybrid,4,english speaking,1–5 hours,High salary,Maybe,"Yes, anywhere"
29,18-22,Female,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,High school,Science/ computer science,7.14,Data science,IT/Software,No,80000,Confident,5,Maybe,"Coding subject like c, java, python",LinkedIn,yes,"Coding, good communication skills",No,,Weekly,Somewhat,Positively,Hybrid,3,Teaching core programming and they shouldn't teach more than 1 programming language in a year.,Less than 1 hour,Learning opportunities,Maybe,"Yes, Within my country"
30,18-22,Female,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,BA( Communication and Journalism,8.6,Marketing,Marketing,yes,20000,Confident,5,Yes,English,LinkedIn,yes,Proficiency in Design Softwares,No,No,Daily,Somewhat,Positively,Remote,3,"Company Environments, Job Hunting ",Less than 1 hour,Work-life balance,Yes,"Yes, Within my country"
31,28-32,Female,Mumbai,"Less than ₹2,50,000",Unemployed,Diploma,ECed,4.6,Back office,"Healthcare, ",yes,20000,Neutral,5,Maybe,English (specially grammar),LinkedIn,yes,MSCIT,No,,Monthly,Somewhat,Not sure,On-site,3,Confidence,1–5 hours,Learning opportunities,Yes,No
32,18-22,Female,Kalyan,"₹5,00,000–₹10,00,000",Currently studying,Bachelor's degree,Computer Science,8.4,Developer / Graphic Designer,IT/Software,No,0,Confident,4,Maybe,"AI, Data Science ",LinkedIn,yes,-,No,-,Rarely,Yes,Positively,Hybrid,3,-,More than 10 hours,Work-life balance,Yes,"Yes, anywhere"
33,18-22,Female,Mumbai,"Less than ₹2,50,000",Currently studying,Master's degree,Master of Arts In Communication and Journalism,9.0,Editor,Education,No,15000,Not confident,5,Maybe,Research,Linkedln,yes,Writing,Yes,Coursera Courses,Weekly,Somewhat,Positively,Hybrid,4,,Less than 1 hour,Learning opportunities,Maybe,No
34,18-22,Female,Patia,"Above ₹20,00,000",Currently studying,High school,Btech engineering cse,9.36,Software engineer,"IT/Software, Finance",No,100000,Neutral,3,Maybe,Coding subjects,Linkedn,yes,,No,,Monthly,Somewhat,Negatively,Hybrid,3,Prompt engineering,Less than 1 hour,High salary,Yes,"Yes, Within my country"
35,23-27,Male,Mumbai,"Less than ₹2,50,000",Currently studying,Master's degree,Social work,7.9,No,"Healthcare, Education, CSR ",yes,40000,Not confident,5,No,Skills based,,No,Not any,No,No,Rarely,Somewhat,Positively,Remote,3,"AI, soft skills, technical ",Less than 1 hour,Learning opportunities,Yes,"Yes, anywhere"
36,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Diploma,Science,7.0,Student,"Education, ",No,35000,Neutral,3,Maybe,Not applicable,Linkedin,No,,No,Not applicable,Rarely,No,Not sure,Hybrid,3,Not applicable,Less than 1 hour,Growth potential,No,No
37,18-22,Male,Kalyan,"₹5,00,000–₹10,00,000",Currently studying,Bachelor's degree,computer science,8.5,none,"IT/Software, Education, Manufacturing, Marketing",No,20000,Very unconfident,5,No,Maths,none,No,i am confident in my manner of speaking with individuals,No,cs,Never,Yes,Negatively,Remote,1,soft skills,Less than 1 hour,High salary,Yes,"Yes, anywhere"
38,23-27,Female,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Master's degree,English Literature,7.8,Content Management,"Education, Marketing",yes,32000,Neutral,4,Maybe,Science,Linkedin,yes,-,Yes,Content writing and digital marketing,Weekly,Somewhat,Negatively,Hybrid,3,Management and leadership skills,Less than 1 hour,Learning opportunities,Maybe,"Yes, Within my country"
39,18-22,Female,Vadodara,"₹2,50,000–₹5,00,000",Currently studying,High school,Btech in Computer Science and Engineering,8.4,ML Engineer,IT/Software,yes,0,Neutral,4,Yes,Language,LinkedIn,yes,"Full Stack Development, Machine Learning basics.",Yes,"AI, Web Development, NVIDIA Jetson Nano",Daily,Yes,Positively,Remote,4,AI related skills,Less than 1 hour,Learning opportunities,Maybe,"Yes, anywhere"
40,23-27,Female,Pune,"₹2,50,000–₹5,00,000",Working professional,Master's degree,Operations management,8.5,Project management,"Healthcare, Marketing",No,100000,Very confident,3,Maybe,How to make and manage money,LinkedIn,yes,Crm knowledge soft skills,Yes,"Operations management, project management ",Daily,Somewhat,Positively,Remote,2,Money control and how to understand market,Less than 1 hour,Learning opportunities,Maybe,No
41,28-32,Female,Mumbai,"₹5,00,000–₹10,00,000",Unemployed,Master's degree,Home Science - Textiles and Fashion Technology,7.2,,"Healthcare, Education",yes,80000,Not confident,5,No,Interpersonal skills/ Psychology,No,No,Fashion design & Arts and crafts,No,Na,Never,No,Positively,Remote,2,How to get a job and retain it,Less than 1 hour,Work-life balance,Yes,No
42,Above 32,Male,Mumbai,"₹5,00,000–₹10,00,000",Working professional,Bachelor's degree,Economic,5.6,Accounts clerk,Education,No,40000,Neutral,4,Maybe,Sociology,No,No,,No,No,Never,No,Not sure,On-site,3,Practical,Less than 1 hour,Job security,No,"Yes, Within my country"
43,23-27,Female,Navi Mumbai ,"₹2,50,000–₹5,00,000",Working professional,Master's degree,Master's Of Social Work,7.0,Social Worker Executive,Social Work,yes,21200,Very confident,5,Yes,-,Indeed,No,"Collaboration, leadership ",No,-,Weekly,Somewhat,Positively,Remote,4,-,Less than 1 hour,Learning opportunities,Maybe,No
44,Above 32,Male,Kalyan,"₹5,00,000–₹10,00,000",Working professional,Bachelor's degree,Commerce,7.84,Analyst,"IT/Software, Finance, Healthcare, Education, Manufacturing",No,720000,Confident,5,Maybe,IT,,No,Analyst,Yes,Computer management,Never,Somewhat,Positively,Remote,3,Industrial training,Less than 1 hour,Work-life balance,Yes,No
45,18-22,Male,Navi Mumbai,"₹10,00,000–₹20,00,000",Working professional,Bachelor's degree,Science,8.0,Freelancer,Marketing,No,0,Very unconfident,1,Yes,Quit education,Shaadi.com,yes,Binge watching,No,No,Rarely,Yes,No impact,Remote,1,Education,Less than 1 hour,Work-life balance,No,No
46,18-22,Female,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Computer Science engineering,9.89,Developer,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing",yes,20000,Neutral,4,Maybe,Programming,LinkedIn,yes,Public speaking,Yes,Data analyst,Monthly,Somewhat,Positively,Remote,3,Practical implementation of many technologies,Less than 1 hour,Growth potential,Maybe,"Yes, anywhere"
47,18-22,Male,Mumbai,"Less than ₹2,50,000",Unemployed,Bachelor's degree,Computer science,8.6,Not working,IT/Software,yes,20000,Very confident,5,Yes,Maths,Glassdoor,yes,Web development and machine learning,Yes,Machine learning,Weekly,Somewhat,Positively,On-site,5,Practical,1–5 hours,High salary,Yes,"Yes, Within my country"
48,18-22,Male,Mumbai,"₹10,00,000–₹20,00,000",Currently studying,High school,Information Technology,8.0,,IT/Software,No,25000,Neutral,4,Maybe,Finance,,No,,Yes,,Monthly,Somewhat,Positively,Hybrid,3,,1–5 hours,Work-life balance,Maybe,"Yes, anywhere"
49,18-22,Male,Mumbai,"₹10,00,000–₹20,00,000",Currently studying,Bachelor's degree,Computer Science,9.42,Data Analyst,"IT/Software, Finance, Education, Marketing",yes,50000,Neutral,4,Yes,,Linkedin,yes,Good communication skills,No,,Weekly,Yes,Positively,Hybrid,4,,1–5 hours,Work-life balance,Yes,"Yes, Within my country"
50,18-22,Female,Vasai,"Less than ₹2,50,000",Currently studying,High school,B. Pharmacy,6.0,Industry,"Healthcare, Manufacturing",No,15000,Neutral,5,Maybe,Bio Chem Physics,LinkedIn,yes,,No,No,Rarely,Somewhat,Positively,On-site,3,Complex problem solving and many more,1–5 hours,Growth potential,Maybe,No
51,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Master's degree,Mba,9.44,IT sector,Finance,yes,65000,Neutral,3,Maybe,Financial modelling and statement,Linkedin,yes,Communication,No,Start-up certification,Daily,Somewhat,Negatively,Remote,3,Real industry on field things,1–5 hours,Learning opportunities,Maybe,"Yes, anywhere"
52,28-32,Female,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Master's degree,"Arts English, History, Education ",7.84,Teacher,Education,yes,50000,Very confident,5,Yes,IT,,No,Computing,Yes,Artificial intelligence,Rarely,Yes,Negatively,On-site,5,Practical experiences,Less than 1 hour,Learning opportunities,No,No
53,Above 32,Male,Nashik,"₹5,00,000–₹10,00,000",Working professional,Bachelor's degree,Arts,6.1,JR.Clerk,"Finance, Education",No,60000,Not confident,5,No,"MBA,HR,BBA",Linkedin,yes,Computer,No,No,Daily,Yes,Positively,Hybrid,3,Job opportunities and practical experience,Less than 1 hour,Job security,Yes,"Yes, anywhere"
54,23-27,Male,Pune,"₹2,50,000–₹5,00,000",Unemployed,Bachelor's degree,Sociology,7.8,Professor,Education,yes,20000,Very confident,4,Maybe,Poltics,,No,Vocational,No,Sociology,Never,Somewhat,Positively,Hybrid,4,Practical application,1–5 hours,Growth potential,Maybe,"Yes, anywhere"
55,23-27,Female,Mumbai,"Less than ₹2,50,000",Working professional,Bachelor's degree,B.Ed,5.8,Asst Teacher,Education,yes,14000,Confident,5,Maybe,English and Maths,No,No,Computer skills,Yes,IT,Never,Somewhat,Positively,Remote,4,Confident,1–5 hours,Learning opportunities,Maybe,"Yes, Within my country"
56,23-27,Male,Titwala,"₹10,00,000–₹20,00,000",Unemployed,Master's degree,Computer Science,6.4,Web Developer,IT/Software,yes,25000,Confident,3,Yes,ML,,yes,Coding in java,No,No,Weekly,Somewhat,Positively,Hybrid,3,Cloud computing,1–5 hours,Learning opportunities,Maybe,"Yes, anywhere"
57,23-27,Female,Alirajpur,"₹10,00,000–₹20,00,000",Unemployed,Bachelor's degree,Law,8.61,Legal officer,Legal sector,yes,10000,Neutral,5,Maybe,Humanities,,No,Research,No,No,Rarely,Yes,Not sure,Hybrid,3,Not aware,More than 10 hours,High salary,Yes,"Yes, Within my country"
58,23-27,Male,Raipur,"₹2,50,000–₹5,00,000",Unemployed,Master's degree,Psychology,9.1,Psychologist,"Healthcare, Education",yes,25000,Confident,4,Maybe,"Cognitive Psychology, Adolescent Psychology and Statistics",,No,Internship Experience,Yes,Emotional Intelligence,Never,Somewhat,Positively,Hybrid,2,"Guided Counseling sessions, Personal Therapy",Less than 1 hour,Growth potential,No,"Yes, anywhere"
59,23-27,Female,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Master's degree,MSW,9.0,Community worker,Healthcare,yes,45000,Neutral,3,Yes,IT,Naukri,No,"Communication, public relations",Yes,Quantitative Research,Rarely,Somewhat,Positively,Remote,3,Each one can choose their own preference in studies and style of learning,Less than 1 hour,Learning opportunities,Yes,"Yes, anywhere"
60,23-27,Male,Pune,"Less than ₹2,50,000",Unemployed,Bachelor's degree,Arts,6.9,Co-operate,Marketing,No,20000,Not confident,3,Maybe,Computer science,LinkedIn,yes,Web analytics,No,No,Weekly,Somewhat,Not sure,On-site,3,Computer software,More than 10 hours,Growth potential,No,"Yes, anywhere"
61,18-22,Female,Palghar,"₹2,50,000–₹5,00,000",Working professional,Bachelor's degree,English,8.01,Export Coordinator,Healthcare,No,30000,Very confident,4,Yes,Banking,Job hai,No,Pursuing masters,Yes,Digital marketing,Rarely,No,Positively,Hybrid,4,Emotional intelligence,Less than 1 hour,High salary,Yes,"Yes, anywhere"
62,23-27,Male,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,BSC COMP SCI,7.5,No,"IT/Software, Finance, Manufacturing, Marketing",No,25000,Not confident,3,Maybe,Coding subjects,LinkedIn,No,Nothing,No,No,Monthly,Somewhat,Negatively,Hybrid,3,Communication Skills,Less than 1 hour,Growth potential,Maybe,"Yes, anywhere"
63,18-22,Female,Navi Mumbai,"₹2,50,000–₹5,00,000",Currently studying,High school,Bachelor of Arts,8.4,Psychologist/ Counsellor,"Healthcare, Education",No,40000,Confident,3,Maybe,Wouldn’t want to redo.,-,No,-,No,-,Never,No,No impact,On-site,5,-,Less than 1 hour,Growth potential,No,No
64,18-22,Male,MUMBAI,"Less than ₹2,50,000",Currently studying,High school,science,8.5,data analyst,IT/Software,yes,2000000,Very confident,3,Yes,maths,,yes,coding,Yes,data science,Monthly,Somewhat,Positively,Hybrid,3,soft skills,1–5 hours,Work-life balance,Yes,"Yes, anywhere"
65,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,B tech IT,8.05,Software developer,IT/Software,yes,25000,Confident,3,Maybe,"Practical skillset , Ongoing tech stack","LinkedIn, Glassdoor ",yes,.,No,Na,Weekly,Somewhat,Positively,Remote,3,Update in technology used,1–5 hours,Growth potential,Yes,"Yes, Within my country"
66,23-27,Male,Mumbai,"₹5,00,000–₹10,00,000",Working professional,Master's degree,Tourism,9.2,Assistant Manager,"Marketing, Sales",yes,50000,Confident,3,Yes,Business Communications and Marketing,Linkedin,yes,Public Speaking,No,,Weekly,Somewhat,Negatively,Hybrid,2,Personal Counselling,Less than 1 hour,Work-life balance,Maybe,No
67,23-27,Male,Goa,"Less than ₹2,50,000",Currently studying,Bachelor's degree,BA/BPh,6.3,Sound engineer,Film studio,yes,25000,Very confident,5,Yes,Music,,No,Computers,No,,Never,Somewhat,Positively,On-site,3,Practical skills,Less than 1 hour,Growth potential,Maybe,"Yes, anywhere"
68,18-22,Male,Shillong,"Less than ₹2,50,000",Currently studying,High school,English,5.26,Missionary,Education,No,50000,Confident,5,Yes,English,Dont know😅,No,I don't know😅,Yes,English spoken and communication skills,Rarely,No,Positively,Remote,1,Technical skills,Less than 1 hour,Job security,Maybe,"Yes, Within my country"
69,18-22,Female,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,Bachelor's degree,English Literature,9.0,High School Teacher,Education,yes,40000,Confident,2,Yes,,LinkedIn,yes,French Proficiency and Singing,No,,Rarely,Somewhat,Not sure,Hybrid,4,Financial Literacy,Less than 1 hour,Job security,No,"Yes, Within my country"
70,18-22,Female,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Bachelor of Management Studies,9.5,HR operations,"Finance, Healthcare",No,25000,Neutral,5,Maybe,Psychology,Internshala and Indeed,No,"Excel, Digital Marketing ",Yes,.,Rarely,Somewhat,Negatively,Hybrid,2,How to make investments,Less than 1 hour,Growth potential,Maybe,"Yes, Within my country"
71,18-22,Male,Mumbai,"₹2,50,000–₹5,00,000",Currently studying,High school,Finance,8.5,Finance,Finance,No,85000,Very confident,3,Yes,Music,,No,Digital cources,Yes,Financial modelling,Monthly,Somewhat,Not sure,Hybrid,3,Critical thinking,Less than 1 hour,Growth potential,Yes,No
72,Above 32,Female,Mumbai,"₹10,00,000–₹20,00,000",Working professional,Ph. D.,Physical education,6.75,Assistant Professor,Education,yes,80000,Very confident,5,Yes,Statistics n Allied Sciences,linkedin,yes,Sports Training and communication,No,research n sports training,Monthly,Somewhat,Negatively,On-site,4,Allied Sciences and Lab set ups,Less than 1 hour,Work-life balance,Yes,No
73,23-27,Male,Pune,"₹10,00,000–₹20,00,000",Working professional,Bachelor's degree,Computer Science,8.98,IT,"IT/Software, Finance",yes,20000,Very confident,4,Yes,Maths,LinkedIn Naukri Glassdoor,No,Yes,Yes,Finance,Weekly,Yes,Positively,On-site,1,Finance,Less than 1 hour,Learning opportunities,Yes,"Yes, anywhere"
74,Above 32,Female,Udupi,"Less than ₹2,50,000",Working professional,Bachelor's degree,HEP,7.6,Office Assistant,Education,No,30000,Confident,2,Yes,History,,No,Spoken English,No,No,Never,Yes,Positively,Remote,3,Spoken English,1–5 hours,High salary,Maybe,"Yes, Within my country"
75,18-22,Male,Ahmednagar,"₹2,50,000–₹5,00,000",Currently studying,High school,Bsc Computer Science,8.99,AI Engineer,IT/Software,yes,300000,Confident,4,Maybe,Literature,,No,CNC programming,No,-,Never,Somewhat,Positively,On-site,4,Technical programming practicals,1–5 hours,Growth potential,No,"Yes, anywhere"
76,18-22,Male,Mumbai,"Less than ₹2,50,000",Currently studying,Bachelor's degree,Bsc in Microbiology,6.5,Microbiologist,"Healthcare, Manufacturing, Research",yes,80000,Confident,5,No,MBA,LinkedIn,yes,"Event management, Team leader",No,No,Rarely,Yes,Not sure,On-site,5,"Time management, finance management ",Less than 1 hour,High salary,Maybe,"Yes, Within my country"
77,23-27,Male,Navi Mumbai,"₹2,50,000–₹5,00,000",Working professional,Bachelor's degree,Mechanical engineering,8.0,Junior Engineer,Manufacturing,yes,70000,Very confident,2,Yes,3D modelling,,No,Mechanical Engineering concepts,Yes,3D modelling,Rarely,Yes,Not sure,Remote,2,Financial Literacy,Less than 1 hour,Work-life balance,Yes,"Yes, anywhere"
78,23-27,Male,Mumbai,"₹2,50,000–₹5,00,000",Working professional,Bachelor's degree,Sociology majors,7.84,Metadata Co-ordinator,Media,yes,40000,Very confident,5,Yes,I wont redo,,No,Excel,No,Non,Rarely,Somewhat,Positively,Remote,5,No,Less than 1 hour,High salary,No,"Yes, anywhere"
